Sample Name	Protocol REF	Parameter Value[Post Extraction]	Term Source REF	Term Accession Number	Parameter Value[Derivatization]	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Term Source REF	Term Accession Number	Parameter Value[Column type]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Term Source REF	Term Accession Number	Parameter Value[Scan m/z range]	Term Source REF	Term Accession Number	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
SD-B00367	Extraction	isopropanol			none			SD-B00367	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00367	FILES/SD-B00367.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00237	Extraction	isopropanol			none			SD-B00237	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00237	FILES/SD-B00237.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00229	Extraction	isopropanol			none			SD-B00229	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00229	FILES/SD-B00229.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00006	Extraction	isopropanol			none			SD-B00006	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00006	FILES/SD-B00006.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00174	Extraction	isopropanol			none			SD-B00174	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00174	FILES/SD-B00174.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00382	Extraction	isopropanol			none			SD-B00382	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00382	FILES/SD-B00382.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00181	Extraction	isopropanol			none			SD-B00181	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00181	FILES/SD-B00181.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150417_QC_POS_12	Extraction	isopropanol			none			20150417_QC_POS_12	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150417_QC_POS_12	FILES/20150417_QC_POS_12.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00383	Extraction	isopropanol			none			SD-B00383	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00383	FILES/SD-B00383.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00347	Extraction	isopropanol			none			SD-B00347	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00347	FILES/SD-B00347.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00270	Extraction	isopropanol			none			SD-B00270	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00270	FILES/SD-B00270.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00263	Extraction	isopropanol			none			SD-B00263	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00263	FILES/SD-B00263.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00334	Extraction	isopropanol			none			SD-B00334	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00334	FILES/SD-B00334.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00310	Extraction	isopropanol			none			SD-B00310	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00310	FILES/SD-B00310.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00305	Extraction	isopropanol			none			SD-B00305	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00305	FILES/SD-B00305.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00387	Extraction	isopropanol			none			SD-B00387	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00387	FILES/SD-B00387.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00013	Extraction	isopropanol			none			SD-B00013	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00013	FILES/SD-B00013.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150417_QC_POS_13	Extraction	isopropanol			none			20150417_QC_POS_13	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150417_QC_POS_13	FILES/20150417_QC_POS_13.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00258	Extraction	isopropanol			none			SD-B00258	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00258	FILES/SD-B00258.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00323	Extraction	isopropanol			none			SD-B00323	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00323	FILES/SD-B00323.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00216	Extraction	isopropanol			none			SD-B00216	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00216	FILES/SD-B00216.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00254	Extraction	isopropanol			none			SD-B00254	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00254	FILES/SD-B00254.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00344	Extraction	isopropanol			none			SD-B00344	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00344	FILES/SD-B00344.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00349	Extraction	isopropanol			none			SD-B00349	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00349	FILES/SD-B00349.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00197	Extraction	isopropanol			none			SD-B00197	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00197	FILES/SD-B00197.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00049	Extraction	isopropanol			none			SD-B00049	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00049	FILES/SD-B00049.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00358	Extraction	isopropanol			none			SD-B00358	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00358	FILES/SD-B00358.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
